CÓDIGO;RUBRICA;ABATE TETO C.F.ATÉ JAN2004;ABATE TETO C.F. A PARTIR FEV2004
00116;GRAT.LEI 2365/87 PENSIONISTA;X;X
00117;PARC. INCORPORADA LEI 6732/79;X;X
00118;GRAT.INCENT.ATIV.MED. AGREGADO;X;X
00119;GRAT.DED.EXCLUSIVA SUB-JUDICE.;X;X
00120;GRAT.ATIV.EXEC.GAE/GOE - APOS.;X;X
00121;AUXILIO NATALIDADE;;
00122;PENSAO ESP.VIUVA - LEI 3768/60;;
00123;MONTEPIO CIVIL (LEI 4259/63);X;X
00124;COMP.PENSAO ESP.(ART.242 EF);X;X
00125;COMP.MONTEPIO CIVIL-ART.242 EF;X;X
00126;COMP.PENSAO ESP.(LEI 6782/80);X;X
00127;COMP.MONT.CIVIL (LEI 6782/80);X;X
00128;PENSAO INDENIZATORIA/JUDICIAL;X;X
00129;PENSAO GRACIOSA;X;X
00130;RENDIMENTO PASEP;;
00131;ABONO PASEP;;
00132;ADIC.DE IRRADIACAO IONIZ. CLT;X;X
00133;ADIC. DE INSALUBRIDADE-CLT;;X
00134;AVISO PREVIO INDENIZADO CLT;;
00135;ADIC. PERICULOSIDADE-CLT;;X
00136;AUXILIO-ALIMENTACAO;;
00137;V.A.192 INC I L 8112 JURIDICO;X;X
00138;COMPLEMENTACAO SALARIAL CLT;X;X
00139;GRAT. INCENT.ATIVID.ODONTOLOG.;;
00140;GRAT.INC.ATIV.ODONT/APOS.AGREG;X;X
00141;ACERTO LOCALIDADE AP;;
00142;GRAT. L7923/89 ART 2 INC IV AT;X;X
00143;GRAT.DES.ATIV.PREVI.AGREGADO;X;X
00144;GRAT. L 7923/89 AR 2 INC IV AP;X;X
00145;REP.ERARIO L.8112/90-10486/02;;
00146;ACERTO AUXILIO ALIMENT APOSENT;;
00147;VANT.ART.184 INC I LEI 1711/52;X;X
00148;GRAT.DESEMP.ATIV.PREVID.-APOS.;X;X
00149;GRAT.DES.FUN.ESS.JUR.APOS.AGRE;X;X
00150;INCENT.FUNC.SANITARISTA - APOS;X;X
00151;INCENT.FUNCIONAL GRUPO PCT;;
00152;COMPL.SALARIAL L.1050/50 AP;X;X
00153;DIF.INDIV.DEC.LEI 2.346/87 AP;X;X
00154;GRAT.INCENT.ATIV.MED.VETERIN.;;
00155;GRAT.INC.ATIV.MED.VETERIN.INAT;;
00156;GRAT.INCENT.ATIV.AGRONOMICA;X;X
00157;GRAT.INCENT.ATIV.AGRONOM.-APOS;X;X
00158;GRAT.PLANEJ.ORC.FINAN.CONTROLE;X;X
00159;GRAT.PLAN.ORC.FIN.CONTROLE  AP;X;X
00160;GRAT.DESEMP.ATIV.FISC.EM ABAST;;
00161;GRAT.DES.ATIV.FISC.ABAST.INAT.;;
00162;GRAT.DES.ATIV.RODO.AC.JUDICIAL;X;X
00163;GRAT.P/DES.AT.ROD./APOS.S.JUD.;X;X
00164;GRAT.ATIVID.ESPECIF.DO CAFE;;
00165;GRAT.ATIV.ESPECIF.DE CAFE/INAT;X;X
00166;GRAT.ATIV.TEC.ADMINTRAT.(GATA);X;X
00167;GRAT.ATIV.TEC.ADMIN.APOS/AGREG;X;X
00168;GRATIFICACAO DECRETO-LEI 2355;X;X
00169;PART.CONS.ADM/FISC-CLT-EMPREG.;X;X
00170;GRAT.DESEMP.ATIV.FISC.TRAB/INA;;
00171;GRAT.DESEMP.ATIV.APOIO;X;X
00172;GRAT DES.ATIV.APOIO AGRE.-APOS;X;X
00173;OPCAO FUNCAO - APOSENTADO;X;X
00174;REPRESENTACAO MENSAL - APOSENT;X;X
00175;VANT.PES.ART 13 LEI 8216 APOS.;X;X
00176;GRATIFICACAO NATALINA;;
00177;ADIANT.GRATIF.NATALINA/ATIVO;;
00178;GRAT.NATALINA PROPORCIONAL;;
00179;VANTAGEM PESSOAL/PENSIONISTA;X;X
