CÓDIGO;RUBRICA;ABATE TETO C.F.ATÉ JAN2004;ABATE TETO C.F. A PARTIR FEV2004
02869;RT 436/89 -PCCS- APOS.;X;X
02870;RT 437/89 -PCCS- ATIVO;X;X
02871;RT 437/89 -PCCS- APOS.;X;X
02872;RT 720/89 -PCCS- ATIVO;X;X
02873;RT 720/89 -PCCS- APOS.;X;X
02874;RT 583/89 -PCCS- ATIVO;X;X
02875;RT 583/89 -PCCS- APOS.;X;X
02876;RT 2129/89 -PCCS- ATIVO;X;X
02877;RT 2129/89 -PCCS- APOS.;X;X
02878;RT 879/89 -PCCS- ATIVO;X;X
02879;RT 879/89 -PCCS- APOS.;X;X
02880;AT 474/91 -84,32%- ATIVO;X;X
02881;AT 474/91 -84,32%- APOS.;X;X
02882;AT 668/91 -DIVERSOS- ATIVO;X;X
02883;AT 668/91 -DIVERSOS- APOS.;X;X
02884;RT 8265-91-1-9 1JCJ/AM 20% AT;X;X
02885;RT 8265-91-1-9 1JCJ/AM 20% AP;X;X
02886;AT 896/91 -DIVERSOS- ATIVO;X;X
02887;AT 896/91 -DIVERSOS- APOS.;X;X
02888;RT 190910-36 DIVERSOS ATIVO;X;X
02889;RT 190910-36 DIVERSOS APOS;X;X
02890;RT 6260 A 6268/90-84,32%-ATIVO;X;X
02891;RT 6260 A 6268/90-84,32%-APOS.;X;X
02892;AT 845/86 -HE- ATIVO;X;X
02893;AT 845/86 -HE- APOSENT.;X;X
02894;AT 1012/89  PCCS  ATIVO;X;X
02895;AT 1012/89  PCCS  APOSENT.;X;X
02896;AO 928122-3   ANUENIO  ATIVO;;
02897;AO 928122-3   ANUENIO  APOS.;;X
02898;AO 907032-9   ANUENIO  ATIVO;;X
02899;AO 907032-9   ANUENIO  APOS.;;X
02900;AO 937569-1   ANUENIO  ATIVO;;X
02901;AO 937569-1   ANUENIO  APOS.;;X
02902;AO 9319630-8   ANUENIO ATIVO;;X
02903;AO 9319630-8   ANUENIO  APOS;;X
02904;AO 926753-0   ANUENIO  ATIVO;;X
02905;AO 926753-0   ANUENIO  APOS.;;X
02906;AO 9120590-7   84,32%  ATIVO;X;X
02907;AO 9120590-7   84,32%  APOS.;X;X
02908;MS 90132053   84,32%  ATIVO;X;X
02909;MS 90132053   84,32%  APOS.;X;X
02910;RT 2027/91 -26,05%- ATIVO;X;X
02911;RT 2027/91 -26,05%- APOS.;X;X
02912;RT 072/91  84,32%- ATIVO;X;X
02913;RT 072/91 -84,32%- APOS.;X;X
02914;RT 1002/89 -26,06%- ATIVO;X;X
02915;RT 1002/89 -26,06%- APOS.;X;X
02916;AT 1248/91 -84,32%- ATIVO;X;X
02917;AT 1248/91 -84,32%- APOS.;X;X
02918;AO 9120589-3   84,32%- ATIVO;X;X
02919;AO 9120589-3   84,32%- APOS.;X;X
02920;RT 982/89 -26,06%- ATIVO;X;X
02921;RT 982/89 -26,06%- APOS.;X;X
02922;RT 9001236/91   26,05%  ATIVO;X;X
02923;RT 9001236/91   26,05%  APOS.;X;X
02924;RT 7001898/91   DIVERSOS  AT.;X;X
02925;RT 7001898/91   DIVERSOS  APO.;X;X
02926;AO 9120668-7   26,05%  ATIVO;X;X
02927;AO 9120668-7   26,05%  APOS.;X;X
02928;RT 2183/89 -58,89%- ATIVO;X;X
02929;RT 2183/89 -58,89%- APOS.;X;X
02930;RT 1145/91 -26,05%- ATIVO;X;X
02931;RT 1145/91 -26,05%- APOS.;X;X
02932;RT 469/89 -26,05%- ATIVO;X;X
02933;RT 469/89 -26,05%- APOS.;X;X
02934;RT 1260/89 -26,06%- ATIVO;X;X
02935;RT 1260/89 -26,06%- APOS.;X;X
02936;RT 1607/89 6JCJ/DE 26,05 ATIV;X;X
02937;RT 1607/89 6JCJ/DF 26,05 AP0S;X;X
02938;RT 1436/89 -46,45%- ATIVO;X;X
02939;RT 1436/89 -46,45%- APOS.;X;X
02940;RT 418/89 -26,06%- ATIVO;X;X
02941;RT 418/89 -26,06%- APOS.;X;X
02942;RT 132/89 -35%- ATIVO;X;X
02943;RT 132/89 -35%- APOS.;X;X
02944;RT 1671/90  26,05%/26,06% AT;X;X
02945;RT 1671/90  26,06%/26,05 APOS;X;X
02946;AO 914431-8   84,32%  ATIVO;X;X
02947;AO 914431-8   84,32%  APOS.;X;X
02948;AO 912113-0   84,32%- ATIVO;X;X
02949;AO 912113-0   84,32%- APOS.;X;X
02950;AO 931882-5   84,32%- ATIVO;X;X
02951;AO 931882-5   84,32%- APOS.;X;X
02952;AO 932311-0   84,32%- ATIVO;X;X
02953;AO 932311-0   84,32%- APOS.;X;X
02954;AO 932058-7   84,32%- ATIVO;X;X
02955;AO 932058-7   84,32%- APOS.;X;X
02956;AO 933263-1   84,32%- ATIVO;X;X
02957;AO 933263-1   84,32%- APOS.;X;X
02958;AO 932312-8   84,32%- ATIVO;X;X
02959;AO 932312-8   84,32%- APOS.;X;X
02960;AO 932057-9   84,32%- ATIVO;X;X
02961;AO 932057-9   84,32%- APOS.;X;X
02962;RT 1162/89 -26,05%/26,06% AT;X;X
02963;RT 1162/89 -26,05%-       AP;X;X
02964;RT 1354/90 -84,32%- ATIVO;X;X
02965;RT 1354/90 -84,32%- APOS.;X;X
02966;RT 11124/92   84,32%- ATIVO;X;X
02967;RT 11124/92   84,32%- APOS.;X;X
02968;RT 1458/89 -26,05%- ATIVO;X;X
02969;RT 1458/89 -26,05%- APOS.;X;X
02970;RT 1162/89 -26,05%/26,06% AT;X;X
02971;RT 1162/89 -26,05%/26,06% APOS;X;X
02972;RT 1212/92 -84,32%- ATIVO;X;X
02973;RT 1212/92 -84,32%- APOS.;X;X
02974;MS 94403451-7 2VF/SJC-SP 14 SL;X;X
02975;RT 4548/89 18RS DIFPROADJ/TIT;X;X
02976;RT 1931/92 -45%- ATIVO;X;X
02977;RT 1931/92 -45%- APOS.;X;X
02978;RT 93/91 -84,32%- ATIVO;X;X
02979;RT 93/91 -84,32%- APOS.;X;X
02980;RT 962/91 -58,89%- ATIVO;X;X
02981;RT 962/91 -58,89%- APOS.;X;X
02982;RT 843/93 -45%- ATIVO;X;X
02983;RT 843/93 -45%- APOS.;X;X
02984;RT 934/91 -26,06%- ATIVO;X;X
02985;RT 934/91 3JCJ/RO 26,06 AP;X;X
02986;RT 930/91 -84,32%- ATIVO;X;X
02987;RT 930/91 -84,32%- APOS.;X;X
02988;RT 743/91 -26,05%- ATIVO;X;X
02989;RT 743/91 -26,05%- APOS.;X;X
02990;RT 181/91-01 26,05% 1JCJ/RO AT;X;X
02991;RT 181/91-01 26,05% 1JCJ/RO AP;X;X
02992;RT 2388/92-01-8 -26,05%- ATIVO;X;X
02993;RT 2388/92-01-8 -26,05%- APOS.;X;X
02994;RT 1074 A 1079 -114,51%- ATIVO;X;X
02995;RT 1074 A 1079/89 -114,51%-APO;X;X
02996;RT 1044 A 1053/89 -26,06% -AT;X;X
02997;RT 1044 A 1053/89 -26,06% -APO;X;X
02998;RT 1193/91 -26,05%- ATIVO;X;X
02999;RT 1193/91 -26,05%- APOS.;X;X
03000;AO 934246   28,86%- ATIVO;X;X
03001;AO 934246   28,86%- APOS.;X;X
03002;AO 91752-8   26,05%- ATIVO;X;X
03003;AO 91752-8   26,05%- APOS.;X;X
03004;AO 91115733-7   26,06%- ATIVO;X;X
03005;AO 91115733-7   26,06%- APOS.;X;X
03006;AO 9211634-5   84,32%- ATIVO;X;X
03007;AO 9211634-5   84,32%- APOS.;X;X
03008;RT 316 A 325/92 -84,32%- ATIVO;X;X
03009;RT 316 A 325/92 -84,32%- APOS.;X;X
03010;RT 9144-2   26,05%- ATIVO;X;X
03011;RT 9144-2   26,05%- APOS.;X;X
03012;RT 2539 A 2548/91 -26,05%- AT.;X;X
03013;RT 2539 A 2548/91 -26,05%- APO;X;X
03014;RT 2724/91 -26,05%- ATIVO;X;X
03015;RT 2724/91 -26,05%- APOS.;X;X
03016;RT 195/90 24JCJ/RJ 26,05%  AT;X;X
03017;RT 195/90 24JCJ/RJ 26,05% AP;X;X
03018;RT 1573/89 -26,05%- ATIVO;X;X
03019;RT 1573/89 -26,05%- APOS.;X;X
03020;AT 807/91 -26,05%- ATIVO;X;X
03021;AT 807/91 -26,05%- APOS.;X;X
03022;AT 288/91 -84,32%- ATIVO;X;X
03023;AT 288/91 -84,32%- APOS.;X;X
03024;AT 475/91 -84,32%- ATIVO;X;X
03025;AT 475/91 -84,32%- APOS.;X;X
03026;AO 7683278 -REPOSIC.- ATIVO;X;X
03027;AO 7683278 -REPOSIC.- APOS.;X;X
03028;AO 674-G/88 -REPOSIC.-ATIVO;X;X
03029;AO 674-G/88 -REPOSIC.- APOS.;X;X
03030;RT 1820/89 -26,05%- ATIVO;X;X
03031;RT 1820/89 -26,05%- APOS.;X;X
03032;RT 1977/89 -20% ATIVO;X;X
03033;RT 1977/89 -20%- APOS.;X;X
03034;AO 92749-0   ANUENIO- ATIVO;;X
03035;AO 92749-0   ANUENIO- APOS.;;X
03036;AO 935438-4   ANUENIO- ATIVO;;X
03037;AO 935438-4   ANUENIO- APOS.;;X
03038;RT 88005848-5 -HE- ATIVO;;X
03039;RT 88005848-5 -HE- APOS.;;X
03040;RT.973/89 -URP- ATIVO;X;X
03041;RT.973/89 -URP- APOS.;X;X
03042;RT.1609/90 -26,05%- ATIVO;X;X
03043;RT.1609/90 -26,05%- APOS.;X;X
03044;RT.393/90 -REFERENC.- ATIVO;X;X
03045;RT.393/90 -REFERENC.- APOS.;X;X
03046;AC 321/91 -PCCS- ATIVO;X;X
03047;AC 321/91 -PCCS- APOS.;X;X
03048;RT.1702/90 -PCCS- ATIVO;X;X
03049;RT 1702/90 -PCCS- APOS.;X;X
03050;MC 119/91 -PCCS- ATIVO;X;X
03051;MC 119/91 -PCCS- APOS.;X;X
03052;RT 53900388-01 PERCUL/URP ATIV;X;X
03053;RT 53900388-01 PERIC/URP APO;X;X
03054;RT 2179/89 -70,28%- ATIVO;X;X
03055;RT 2179/89 -70,28%- APOS.;X;X
03056;RT 5953/81 -DIARIAS- ATIVO;X;X
03057;RT 5953/81 -DIARIAS- APOS.;X;X
03058;MS 936928-4 -ENQUADRAMENTO-AT;X;X
03059;MS 936928-4 -ENQUADRAMENTO-APO;X;X
03060;RT 890403931-2    COMP.SAL- AT;X;X
03061;RT 890403931-2    COMP.SAL-APO;X;X
03062;RT 817/90 -VINC.EMP.- ATIVO;X;X
03063;RT 817/90 -VINC.EMP.- APOS.;X;X
03064;MS 918803-0 -ENQUADRAM.- AT;X;X
03065;MS 918803-0 -ENQUADRAM.- APOS;X;X
03066;MS 919244-4 -ENQUADRAM.-ATIVO;X;X
03067;MS 919244-4 -ENQUADRAM.APOS.;X;X
03068;MS 917596-5 -ENQUADRAM.-ATIVO;X;X
03069;MS 917596-5  -ENQUADRAM.- APOS;X;X
03070;MS 915249-3 -ENQUADRAMENTO-AT;X;X
03071;MS 915249-3 -ENQUADRAMENTO-APO;X;X
03072;MS 923578.7 -ENQUADRAM.- ATIVO;X;X
03073;MS 923578.7 -ENQUADRAM.- APOS.;X;X
03074;MS 935645.0 -ENQUADRAM.- ATIVO;X;X
03075;MS 935645.0 -ENQUADRAM.- APOS.;X;X
03076;MS 915756.8 -ENQUADRAM.- ATIVO;X;X
03077;MS 915756.8 -ENQUADRAM.- APOS.;X;X
03078;MS 917594.9 - ENQUADRAM.-ATIVO;X;X
03079;MS 917594.9-ENQUADRAM.- APOS.;X;X
03080;RT 1327/87 -DIVERSOS- ATIVO;X;X
03081;RT 1327/87 -DIVERSOS- APOS.;X;X
03082;MC 942491.6 -28,86%- ATIVO;X;X
03083;MC 942491.6 -28.86%- APOS.;X;X
03084;AO 3515 A 3522/91- 26,05%- AT.;X;X
03085;AO 3515 A 3522/91 -26,05%- APO;X;X
03086;AO 2627/91 -26,05%- ATIVO;X;X
03087;AO 2627/91 -26,05%- APOSENT.;X;X
03088;AO 3694 A 3700/91 -26,05%- AT.;X;X
03089;AO 3694 A 3700/91 -26,05%- APO;X;X
03090;AO 2831/91 -26,05%- ATIVO;X;X
03091;AO 2831/91 -26,05%- APOS.;X;X
03092;AO 5635 A 5715/90 -84,32%- AT.;X;X
03093;AO 5635 A 5715/90 -84,32%- APO;X;X
03094;RT 1376/89 -PCCS- ATIVO;X;X
03095;RT 1376/89 -PCCS- APOS.;X;X
03096;RT 1146 -26,05 / 26,06% - AT.;X;X
03097;RT 1146 -26,06 / 26,05% -APOS.;X;X
03098;MS 98819-7 -VANT.ART.184- AT.;X;X
03099;MS 98819-7 -VANT.ART.184- APOS;X;X
03100;AO 88256-0- AD. T. SERVICO AT;;
03101;AO 88256-0-AD.TEMPO SER-AP;;
03102;RT 15351615-88 30%  ATIVO;X;X
03103;RT 15351615-88 30% APOS.;X;X
03104;RT 5357 A 5409/90 -84,32%- AT.;X;X
03105;RT 5357 A 5409/90 -84,32%- APO;X;X
03106;RT 753 A 758/92 -26,06%- ATIVO;X;X
03107;RT 753 A 758/92 -26,06%- APOS.;X;X
03108;AO 898350-3 -AD.TEMPO SER-AT;;
03109;AO 898350-3  -AD.TEMPO SER-APO;;
03110;RT 151-159/92 -84,32%- ATIVO;X;X
03111;RT 151-159/92 -84,32%- APOS.;X;X
03112;RT 059063 84,32% ATIVO;X;X
03113;RT 059063 84,32% APOSENTADO;X;X
03114;RT 64-73/92 -84,32%- ATIVO;X;X
03115;RT 64-73/92 -84,32%- APOS.;X;X
03116;RT 3221-3226/91 -26,05%- ATIVO;X;X
03117;RT 3221-3226/91 -26,05%- APOS.;X;X
03118;RT 753-758/92 -26,05%- ATIVO;X;X
03119;RT 753-758/92 -26,05%- APOS.;X;X
03120;AO 92760-0 -84,32%- ATIVO;X;X
03121;AO 92760-0 -84,32%- APOS.;X;X
03122;RT 5357-5409/90 -84,32%- ATIVO;X;X
03123;RT 5357-5409/90 -84,32%- APOS.;X;X
03124;AO 9115685-0   84,32%- ATIVO;X;X
03125;AO 9115685-0   84,32%- APOS.;X;X
03126;AO 902572-9 -84,32%- ATIVO;X;X
03127;AO 902572-9 -84,32%- APOS.;X;X
03128;AO 901671-1 - 26,05% - ATIVO;X;X
03129;AO 901671-1 - 26,05% - APOS;X;X
03130;RT 1437/90 -26,05%- ATIVO;X;X
03131;RT 1437/90 -26,05%- APOS.;X;X
03132;AO 195/90 -DIVERSOS- ATIVO;X;X
03133;AO 195/90 -DIVERSOS- APOS.;X;X
03134;AO 938781-9   26,05%- ATIVO;X;X
03135;AO 938781-9   26,05%- APOS.;X;X
03136;AO 94481-8   26,05%- ATIVO;X;X
03137;AO 94481-8   26,05%- APOS.;X;X
03138;AO 932981-9   26,05%- ATIVO;X;X
03139;AO 932981-9   26,05%- APOS.;X;X
03140;AO 938933-1   26,05%- ATIVO;X;X
03141;AO 938933-1   26,05%- APOS.;X;X
03142;AC 9231757 -84,32%- ATIVO;X;X
03143;AC 9231757 -84,32%- APOS.;X;X
03144;RT 195/90 - 26,06% - ATIVO;X;X
03145;RT 195/90 - 26,06% - APOS.;X;X
03146;AO 3331/84-C -REMUN.- ATIVO;X;X
03147;AO 3331/84-C -REMUN.- APOS.;X;X
03148;AO 129/85-J -REMUN.- ATIVO;X;X
03149;AO 129/85-J -REMUN.- APOS.;X;X
03150;RT 009/93 -VANT.PES.- ATIVO;X;X
03151;RT 009/93 -VANT.PES.- APOS.;X;X
03152;MS 05/84-J -DL-1971/82 ATIVO;X;X
03153;MS 05/84-J -DL-1971/82 APOSENT;X;X
03154;RT 029997 - 26,05% - ATIVO;X;X
03155;RT 029997 - 26,05% - APOS;X;X
03156;AO 7217 - 26,05% ATIVO;X;X
03157;AO 7217 - 26,05% APOS.;X;X
03158;RT 19676 - URP - ATIVO;X;X
03159;RT 19676 - URP - APOS.;X;X
03160;RT 29334 - 26,05% ATIVO;X;X
03161;RT 29334 - 26,05% APOS.;X;X
03162;RT 157/91 - 80% - ATIVO;X;X
03163;RT 157/91 - 80% - APOS.;X;X
03164;AO 932375-6 -26,05%- ATIVO;X;X
03165;AO 932375-6 -26,05%- APOS.;X;X
03166;AO.89.375067/90.473454-GDAR-AT;X;X
03167;AO89.375067/90.473454 -GDAR-AP;X;X
03168;MC.7756143/9231480 -HE- ATIVO;X;X
03169;MC.7756143/9231480 -HE- APOS.;X;X
03170;AO.91.25635-8 -84,32%- ATIVO;X;X
03171;AO.91.25635-8 -84,32%- APOS.;X;X
03172;MC 9134678-0 ALIMENTAR ATIVO;X;X
03173;MC 9134678-0 ALIMENTAR APOSENT;X;X
03174;MC 91497193-6 IPC ATIVO;X;X
03175;MC 91497193-IPC  APOSENTADO;X;X
03176;AO 9112787-6  84,32% ATIVO;X;X
03177;AO 9112787-6  84,32% APOSENT;X;X
03178;RT 77/92 16.19% ATIVO;X;X
03179;RT 77/92 16,19% APOSENTADO;X;X
03180;RT 70/92 84,32% ATIVO;X;X
03181;RT 70/92 84,32% APOSENTADO;X;X
03182;AO 931/91 26,05% ATIVO;X;X
03183;AO 931/91 26,05% APOSENTADO;X;X
03184;RT 2142090073 20/26,05/84,32%;X;X
03185;RT 214209003 20/26,05/84,32%AP;X;X
03186;MC 910106391-0 84,32% ATIVO;X;X
03187;MC 910106391-0 84,32% APOSENT;X;X
03188;RT 2413/89 26,05% ATIVO;X;X
03189;RT 2413/89 26,05% APOSENT;X;X
03190;MC 91104930-5 84,32% ATIVO;X;X
03191;MC 91104930-5 84,32% APOSENT;X;X
03192;RT 1378/89 26,05% ATIVO;X;X
03193;RT 1378/89 26,05% APOSENTADO;X;X
03194;RT 2238/89-26,05% ATIVO;X;X
03195;RT 2238/89 26,05% APOSENTADO;X;X
03196;AO 872878-9 CONC.REF.ATIVO;X;X
03197;AO 872878-9 CONC.REF. APOSENT;X;X
03198;RT 1752/92 84,32% ATIVO;X;X
03199;RT 1752/92 84,32% APOSENTADO;X;X
03200;RT 1439/89 DIF.IND.ENQ. ATIVO;X;X
03201;RT 1439/89 DIF.IND.ENQ. APOS.;X;X
03202;RT 2038/90 REFERENCIAS ATIVO;X;X
03203;RT 2038/90 REFERENCIAS APOSENT;X;X
03204;RT 7386095/86 REFER ATIVO;X;X
03205;RT 7386095/86 REFER APOSENTADO;X;X
03206;RT 23041.2526/90-55-26,05% AT;X;X
03207;RT 23041.2526/90-55 26,05% AP;X;X
03208;RT 6071074/84-G.P HE ATIVO;X;X
03209;RT 6071074/84 - G.P HE APOSENT;X;X
03210;AO 87.028787-9 REPOSIC ATIVO;X;X
03211;AO 87.028787-9 REPOSIC APOSENT;X;X
03212;AC 925499-4 55% ATIVO;X;X
03213;AC 925499-4 55% APOSENTADO;X;X
03214;AC 934245-9 28.86% ATIVO;X;X
03215;AC 934245-9  -28,86% APOSENT;X;X
03216;MC 9134678-0 ALIMENTAR APOSENT;X;X
03217;AO 89942-7 26,06% 26,05% ATIVO;X;X
03218;AO 89942-7 26,06% 26,05% APOSE;X;X
03219;RT 866/89 26,05/26,06% ATIVO;X;X
03220;RT 866/89 26,05/26,06% APOSENT;X;X
03221;RT 774/89 26,06% 26,05% ATIVO;X;X
03222;RT 774/89 26,06% 26,05% APOSEN;X;X
03223;AO 89941-9 26,05% ATIVO;X;X
03224;AO 89941-9 26,05% APOSENTADO;X;X
03225;RT 1457/89 26,06%/26,05% ATIVO;X;X
03226;RT 1457/89 26,06/26,05% APOSEN;X;X
03227;RT 21485/92 84,32 ATIVO;X;X
03228;RT 21485/92 84,32% APOSENT;X;X
03229;RT 1023-91 84,32% ATIVO;X;X
03230;MI 1218/91 26,06% ATIVO;X;X
03231;MI 1218/91 26,06% APOSENT;X;X
03232;AT 6109578- VANT.PESSOAL APOSE;;X
03233;RT 3517 A 3585/90 26,05% ATIVO;X;X
03234;RT 3517 A 3585/90 26,05% APO;X;X
03235;AT 4706 A 4758/90 26,05% ATIVO;X;X
03236;AT 4706 A 4758/90 26,05% APOSE;X;X
03237;AT 3540 A 3549/91 26,05% ATIVO;X;X
03238;AT 3540 A 3549/91 26,05% APOS;X;X
03239;AO 92996-4 -26,05%  ATIVO;X;X
03240;AO 92996-4 -26,05%  APOS.;X;X
03241;AT 2920A2926/91 26,05%  ATIVO;X;X
03242;AT 2920A2926/91 26,05%  APOS;X;X
03243;AT 5190A5281/90 84,32% ATIVO;X;X
03244;AT 5190 A 5281/90 84,32% APO;X;X
03245;AT 2682/91 26,05%  ATIVO;X;X
03246;AT 2682/91 26,05%  APOSENT;X;X
03247;AT 2832 A 2838/91 26,05% ATI;X;X
03248;AT 2832 A 2839/91-26,05% APOSE;X;X
03249;AT 2726 A 2779/91 84,32% ATIVO;X;X
03250;AT 2726 A 2779/91 84,32% APOS;X;X
03251;AT 1641 A 1650 26,05%  ATIVO;X;X
03252;AT 1641 A 1650 26,05%  APOS;X;X
03253;AT 1510 A 1511 26,05%  ATIVO;X;X
03254;AT 1510 E 1511 26,05%  APOS;X;X
03255;AT 6573 A 6609 26,05%  ATIVO;X;X
03256;AT 6573 A 6609 26,05%  APOS;X;X
03257;AT 9314933-4 AD.T.SERV.ATIVO;;
03258;AT 9314933-4 AD.T.SERV. APO;X;X
03259;RT 867/88 INC. QUINT. ATIVO;X;X
03260;RT 867/88 INC.QUINT. APOSENT;X;X
03261;AO 935789-8 AD.T. SERV. ATIVO;;
03262;AO 935789.8- AD.T.SERV. APOSEN;;
03263;RT 1193/89 PCCS ATIVO;X;X
03264;RT 1193/89 PCCS APOSENTADO;X;X
03265;RT 1774/89 PCCS ATIVO;X;X
03266;RT 1774/89 PCCS APOSENT;X;X
03267;RT 1063/89 - GOIAS   PCCS ATIV;X;X
03268;RT 1063/89- GOIAS    PCCS APO;X;X
03269;AC 725/89 26,05% ATIVO;X;X
03270;AC 725/89 26,05% APOSENTADO;X;X
03271;RT 1423/89 PCCS ATIVO;X;X
03272;RT 1423/89 PCCS APOSENTADO;X;X
03273;RT 6330-260 PCCS ATIVO;X;X
03274;RT 6330-260 PCCS APO;X;X
03275;RT 4240/89 PCCS ATIVO;X;X
03276;RT 4240/89 PCCS APOSENTADO;X;X
03277;RT 95/89 PCCS ATIVO;X;X
03278;RT 95/89 PCCS APOSENTADO;X;X
03279;RT 014/90 - PCCS ATIVO;X;X
03280;RT 014/90 PCCS APOSENTADO;X;X
03281;RT 1678/89 PCCS ATIVO;X;X
03282;RT 1678/89 PCCS APOSENTADO;X;X
03283;AT 1150/89 PCCS ATIVO;X;X
03284;AT 1150/89 PCCS - APOSENTADO;X;X
03285;RT 203/89 PCCS ATIVO;X;X
03286;RT 203/89 PCCS APOSENTADO;X;X
03287;RT 1023/91 84,32% APOSENTADO;X;X
03288;RT 733/91 PCCS ATIVO;X;X
03289;RT 733/91 PCCS APOSENTADO;X;X
03290;RT 076/89 PCCS ATIVO;X;X
03291;RT 076/89 PCCS APOSENTADO;X;X
03292;RT 004/89 PCCS ATIVO;X;X
03293;RT 004/89 PCCS APOSENTADO;X;X
03294;RT 1224/89 PCCS ATIVO;X;X
03295;RT 1224/89 PCCS APOSENTADO;X;X
03296;RT 110/90 PCCS ATIVO;X;X
03297;RT 110/90 PCCS APOSENTADO;X;X
03298;RT 011/92 PCCS ATIVO;X;X
03299;RT 011/92 PCCS APOSENTADO;X;X
03300;RT 204/89 PCCS ATIVO;X;X
03301;RT 204/89 PCCS APOSENTADO;X;X
03302;RT 1436/89 26,05%. ATIVO;X;X
03303;RT 1436/89 26,05%  APOSENTADO;X;X
03304;RT 862/89  26,05% ATIVO;X;X
03305;RT 862/89 26,05% APOSENT;X;X
03306;RT 1730/89 26,05% ATIVO;X;X
03307;RT 1730/89 26,05% APOSENTA;X;X
03308;AO 9313138-9 28,86% ATIVO;X;X
03309;AO 93131389 28,86% APOSENTADO;X;X
03310;RT 1111/89 PCCS ATIVO;X;X
03311;RT 1111/89 PCCS APOSENTADO;X;X
03312;RT 1469/90 PCCS ATIVO;X;X
03313;RT 1469/90 PCCS APOSENTADO;X;X
03314;RT 1329/90 PCCS ATIVO;X;X
03315;RT 1329/90 PCCS APOSENTADO;X;X
03316;RT 1164/90 PCCS ATIVO;X;X
03317;RT 1164/90 PCCS APOSENTADO;X;X
03318;RT 1778/89 PCCS ATIVO;X;X
03319;RT 1778/89 PCCS APOSENTADO;X;X
03320;MC 9133839-7 26,05% ATIVO;X;X
03321;MC 9133839-7 26,05% APOSENTADO;X;X
03322;MC 91108920-0 84,32% ATIVO;X;X
03323;MC 91108920-0 84,32 APOSENTADO;X;X
03324;RT 2397/89 - 26,06% ATIVO;X;X
03325;RT 2397/89 26,06% APOSENTADO;X;X
03326;MC 9133839-7 26,05% ATIVO;X;X
03327;MC 9133839-7 26,05% APOSENTADO;X;X
03328;MC 7817088 H EXTRA ATIVO;X;X
03329;MC 7817088 H.EXTRA APOSENTADO;X;X
03330;RT 1424/83 INC HORA EX ATIVO;X;X
03331;RT 1424/83 INC HORA EX. APO;X;X
03332;RO 3078/89 PCCS ATIVO;X;X
03333;RO 3078/89 PCCS APOSENTADO;X;X
03334;RT 1630/78 PRODUT. ATIVO;X;X
03335;RT 1630/78 PRODUT. APOSENTADO;X;X
03336;AS 199015/86  PRODUT. ATIVO;X;X
03337;AS 199015/86  PRODUT. APOSENT;X;X
03338;RT 905 PCCS ATIVO;X;X
03339;RT 905 PCCS APOSENTADO;X;X
03340;AO 271/81 PRODUT. ATIVO;X;X
03341;AO 271/81 PRODUT. APOSENTADO;X;X
03342;AS 21/81 PRODUTIVIDADE ATIVO;X;X
03343;AS 21/81 PRODUTIVIDADE APOSENT;X;X
03344;RT 402/83 DIF. IND. ATIVO;X;X
03345;RT 402/83 DIF. INDIV. APOSENT;X;X
03346;AS 601023/85 GP ATIVO;X;X
03347;AS 601023/85  GP APOSENTADO;X;X
03348;RT 331/83 PRODUT. ATIVO;X;X
03349;RT 331/83 PRODUTIVIDADE APOSEN;X;X
03350;RT 230/73 -PRODUT.- ATIVO;X;X
03351;RT 230/73 -PRODUT.- APOSENT.;X;X
03352;RT 1035/74 PRODUTIVIDADE ATIVO;X;X
03353;RT 1035/74 PRODUTIVIDADE APOSE;X;X
03354;RT 407/81 PRODUTIVIDADE ATIVO;X;X
03355;RT 407/81 PRODUTIVIDADE APOSE;X;X
03356;RT 426-07/82 PRODUTIVIDADE ATI;X;X
03357;RT 426-07/82 PRODUTIVIDADE APO;X;X
03358;RT 75724-82  PRODUTIVIDADE ATI;X;X
03359;RT 75724-82  PRODUTIVIDADE APO;X;X
03360;RT 994/79 AD. ISAL. ATIVO;X;X
03361;RT 994/79 AD. ISAL. APOSENTADO;X;X
03362;AS 836/80 PRODUTIVIDADE ATIVO;X;X
03363;AS 836/80 PRODUTIVIDADE APOSE;X;X
03364;AS 1186/83 PRODUTIVIDADE ATIVO;X;X
03365;AS 1186/83 PRODUTIVIDADE APOSE;X;X
03366;RT 689/78 PRODUTIVIDADE ATIVO;X;X
03367;RT 689/78 PRODUTIVIDADE APOSEN;X;X
03368;RT 689/89 PCCS ATIVO;X;X
03369;RT 689/89 PCCS APOSENTADO;X;X
03370;RT 002/85 PRODUT ATIVO;X;X
03371;RT 002/85 PRODUT APOS;X;X
03372;RT-689/78 PRODUTIVIDADE ATIVO;X;X
03373;RT 689/78 PRODUTIVIDADE APOSEN;X;X
03374;RT 004/81 PRODUTIVIDADE ATI;X;X
03375;RT 004/81 PRODUTIVIDADE APO;X;X
03376;AS  1287047/83 PRODUT. ATIVO;X;X
03377;AS  1287047/83 PRODUT APOSENT;X;X
03378;RT 03/86     AD. ISAL. ATIVO;X;X
03379;RT 03/86 AD. ISAL. APOSENTADO;X;X
03380;RT 41515/78 PRODUTIVIDADE ATI;X;X
03381;RT 41515-78  PRODUTIVIDADE APO;X;X
03382;AO 880000256-0 AD.TEMP.SERV.AT;X;X
